speech,label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_9,mfcc_10,mfcc_12,mfcc_14,mfcc_15,mfcc_17,mfcc_19,mfcc_20,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,chroma_1,chroma_8,spectral_1,spectral_2
data/Neutral_Female/jt_neutral_21.wav,neutral,-353.48593,123.60226,-61.569126,39.86243,-27.980495,-24.715317,-0.13317437,-2.2124407,-22.687115,-13.705301,-3.8216214,-7.185282,-3.099029,-2.570004,-5.869379,-5.0726695,-11.695985,-6.6815214,-10.146454,-9.134981,-0.1447386,-7.9919677,-0.6706725,-2.1090317,-6.188456,2.7410002,-2.5227678,4.061761,3.3139217,5.554673,-2.4220932,-1.7520384,0.31491557,0.24784635,0.6456332,34.45818167748189,14.673574897690191
data/Neutral_Female/ws_neutral_25.wav,neutral,-564.13477,126.06131,-4.9192147,37.11637,0.20872885,9.16078,21.036594,23.856047,-2.3503158,6.8460684,-1.1910081,-5.7058825,-4.042884,-0.70613587,-7.246398,0.06018794,0.3752631,3.4471319,-0.23162043,0.055624623,-1.0078279,-3.245497,6.479445,-0.30418548,-3.9014392,4.0511737,2.3979182,5.4637046,0.14607893,4.786485,-2.631112,0.26655638,-0.36058125,0.5719121,0.62702996,21.557365570180977,16.469227598845723
data/Neutral_Female/ws_neutral_31.wav,neutral,-539.20575,138.16704,-16.331873,54.64462,0.9989306,10.805608,24.811714,24.078247,-4.871884,5.873117,-1.9461396,-8.87433,-3.4185739,3.9493074,-4.740442,3.2876995,-0.06047821,3.463301,0.5884797,-2.8831897,-1.4883612,-0.09950451,5.4903913,-2.6642723,-2.205438,2.5670607,-1.6949348,3.6806495,2.151067,4.7047167,-1.9634873,4.114218,-0.95664966,0.47584954,0.4651815,22.5960277281753,15.552893690106652
data/Neutral_Female/ws_neutral_19.wav,neutral,-492.10907,154.77478,-30.476576,45.752804,0.73430365,3.6395984,8.156684,20.397802,-3.2367382,2.479885,-3.5333989,-2.893516,-7.2811723,-0.4093851,-4.268608,-0.04063706,-4.273942,2.5184095,-3.7936378,-1.6889418,3.6960688,-5.9791064,3.8612342,2.6120977,-3.0626128,3.2949812,1.9090036,7.989627,-2.4551463,4.8104296,-5.10688,-0.704052,1.7892288,0.43987,0.54611284,18.194260602672987,14.768660888381236
data/Neutral_Female/neutral_xn_1.wav,neutral,-548.0422,143.70914,-27.73417,78.2991,-5.0852227,-10.435101,6.87877,15.428833,-9.947067,10.084436,16.75932,-2.3155792,14.841223,-1.293948,-2.5477343,3.786195,-6.066899,-1.4453382,-3.4695761,-8.522712,0.0026093766,-7.5413327,-1.2759824,-1.3270376,-6.5963736,2.9653697,-1.1760539,-0.5556596,-4.1414685,2.4416206,0.42212245,4.4248414,2.749235,0.47118136,0.37025166,30.322829437330203,16.262693627172506
data/Neutral_Female/ws_neutral_18.wav,neutral,-538.46875,141.26854,-7.656425,42.690605,10.224026,0.5569512,7.8272133,10.339817,-6.3951464,1.4093539,-4.4375596,-6.02714,-7.1026764,-2.5956342,-3.0315495,-2.6843402,-5.0167446,0.7695103,-2.7650175,-2.4701028,2.1961873,-5.3581815,3.8044443,5.7406974,-3.8895185,3.356392,4.0760527,3.5212338,0.27619243,0.0695772,-1.2383997,-1.2658559,-2.6974146,0.38437343,0.50084627,17.83811188923781,16.167962105800225
data/Neutral_Female/ws_neutral_30.wav,neutral,-534.9933,143.13206,4.2392488,41.864033,-3.1460032,6.7836385,25.835007,17.282469,-9.809004,8.99144,-6.667532,-7.2005816,-3.656289,-0.5603644,-3.4431934,-1.75705,-0.088737756,5.4486985,3.9341133,-2.482242,-1.9529302,2.7359664,5.83247,-2.6954308,-4.156611,0.50059325,-2.656887,0.7128041,2.4776988,3.3749545,1.9953355,5.487791,0.690537,0.47967196,0.47074878,22.960408451168988,15.50523266436386
data/Neutral_Female/ws_neutral_24.wav,neutral,-557.6238,126.08374,12.0165205,35.85896,1.0029016,10.46837,24.928947,12.431616,-4.809455,1.6198958,-5.7668314,-7.3628874,-3.8638234,-1.0218629,-5.696354,-2.463451,1.3835999,5.2880273,-1.0963206,-2.5949523,-0.11129482,-0.6604458,6.1578183,1.3135146,-3.4248657,3.4904695,3.1764438,3.1514444,1.3497871,3.8768811,-0.301593,3.4957488,1.5991738,0.50764555,0.57868093,21.642975058216393,16.223524230084557
data/Neutral_Female/jt_neutral_20.wav,neutral,-356.61966,131.04312,-54.660236,44.911095,-35.15782,-27.945282,-0.55337656,-4.8665175,-29.503342,-13.050655,-3.3573802,-8.948529,0.920463,-9.367737,-9.901544,-8.486828,-14.9675665,-3.6380873,-7.5989876,-9.616688,0.60396236,-8.326691,-1.1387835,1.2035788,-0.7513803,9.710234,6.320804,9.134236,-1.8560624,1.3731433,-3.6018758,-0.1987787,1.399137,0.27885345,0.4308511,33.27270432185957,16.87581248892019
data/Neutral_Female/jt_neutral_22.wav,neutral,-372.45947,138.69463,-56.031685,46.408264,-40.25583,-28.244484,11.499812,-14.993537,-25.350775,-18.531067,1.9711134,-13.724882,-2.275498,-8.935633,-10.3301525,-7.315323,-17.17794,-4.2761717,-7.7906113,-9.3775835,0.88226676,-10.03145,-1.8317788,-1.7100093,-7.6493816,3.3901265,2.1118915,9.090974,5.008299,5.7020493,-2.6818888,-1.2023822,-0.34077096,0.2900661,0.6178176,33.223620173490986,15.849889922629842
